Date/Statios,Ananea,Arapa,Azangaro,Cabanillas,Capachica,Chuquibambilla,Cojata,Crucero,CruceroAlto,Desaguadero,Huancane,HuarayaMoho,Ilave,Juli,Lampa,Mazocruz,Pampahuta,Pizacoma,Progreso,Puno,Putina,Santa Rosa
7/1988,0.000,0.800,,0.000,2.500,0.000,0.000,0.000,0.000,3.500,0.000,0.000,2.000,1.000,0.100,0.000,0.000,0.000,0.000,0.300,0.000,
8/1988,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.300,
9/1988,0.000,6.000,,6.200,,11.600,0.000,20.800,1.100,13.700,8.900,3.800,19.800,22.600,11.900,0.000,15.900,8.300,9.000,20.500,8.900,
10/1988,22.900,58.300,,56.000,,26.700,63.300,57.000,10.900,20.400,48.400,40.100,31.300,59.300,39.700,9.300,19.100,10.600,17.900,70.500,45.900,
11/1988,30.400,6.600,,0.000,,4.900,0.000,49.800,3.200,2.500,5.100,14.100,9.000,27.300,2.900,0.000,4.500,20.800,10.500,45.500,9.300,
12/1988,81.800,137.500,,142.800,,94.500,85.800,178.800,82.400,125.600,92.700,94.800,71.400,96.200,146.200,45.000,105.500,215.000,67.500,99.100,137.400,
1/1989,105.300,116.700,,194.900,248.300,156.800,92.800,172.600,176.700,124.400,156.000,92.600,214.800,160.200,131.400,135.300,175.200,169.800,151.600,203.800,185.300,209.500
2/1989,58.800,73.900,,57.800,179.300,84.700,63.500,85.400,91.800,78.500,120.300,84.100,113.200,170.500,82.000,257.900,100.500,135.400,119.800,129.900,90.800,105.000
3/1989,136.000,85.900,,89.600,244.400,113.900,100.800,147.400,116.200,97.400,111.800,79.600,135.000,195.100,111.500,262.500,131.800,205.000,108.500,137.100,129.500,100.700
4/1989,26.200,75.100,,88.400,29.600,86.800,49.700,28.200,34.900,58.800,58.800,96.700,91.300,111.300,63.200,34.100,68.900,79.800,84.800,100.900,58.500,36.600
